Close,Open,High,Low,Volume,ATR14_pct,ATR14,TrendScore,MomentumScore,VolumeScore,VolatilityScore,OscillatorScore,BreakoutScore,ExplosivenessScore,RiskScore,risk_score,IsUltraRisky,TechRating_raw,TechRating,AlphaScore,TradeType,Symbol,Sector,Industry,SubIndustry,Signal,factor_alpha,regime_trend_TRENDING_UP,regime_trend_TRENDING_DOWN,regime_trend_SIDEWAYS,regime_vol_HIGH_VOL,regime_vol_LOW_VOL,Alpha5d,Alpha10d,AlphaScore_5d,AlphaScore_10d,ml_alpha_5d_z,ml_alpha_10d_z,ml_alpha_z,DollarVolume,alpha_blend,EntryPrice,StopPrice,TargetPrice,RewardRisk,PositionSize,LiquidityLimited,LiquidityNote,MuHat,MuMl,MuTotal,AlphaScorePct,SectorAlphaPct,RegimeTrend,RegimeVol,MarketRegime,CompositeScore,PlayStyle,IsStable,IsHighRisk,InstitutionalCoreScore,SectorPenalty,OptionPicks,OptionTrade,Rationale
20.51,20.5,20.51,20.49,7787053.0,0.003049597217534397,0.06254723893163049,2,3,2,1,0,1,0.010842779694430815,0.8475201391232802,0.014939049785014213,False,20.039376876476663,25.575172679711194,0.02019650861620903,None,VRNT,Information Technology,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,Other,Strong Long,2.734525643119008,0.0,0.0,1.0,0.0,1.0,0.029654236510396004,0.013891356065869331,0.029654236510396004,0.013891356065869331,0.49563297629356384,0.19550643861293793,0.315557062625885,159712457.03,1.887886638456299,20.52,20.42,20.72,2.0,999,False,,0.5,0.02019650861620903,0.3820687779225409,85.29988239905919,79.81651376146789,SIDEWAYS,LOW_VOL,SIDEWAYS_LOW_VOL,24.562288918351395,Stable,True,False,75.36764645109439,0.896551724137931,[],[],Strong Long – VRNT; TechRating 25.6; AlphaScore 0.02; in a SIDEWAYS_LOW_VOL regime
23.25,23.26,23.26,23.24,5180207.0,0.0028257132887148377,0.06569783396261998,2,3,2,1,-1,1,0.0012919896640828377,0.8587143355642581,0.014863242079778573,False,19.15228601338555,24.510177986891406,0.014914069324731827,None,PRO,Information Technology,SERVICES-COMPUTER PROGRAMMING SERVICES,Software,Strong Long,2.5778186706468076,0.0,0.0,1.0,0.0,1.0,0.019775422289967537,0.011673168279230595,0.019775422289967537,0.011673168279230595,0.3219875991344452,0.1621008962392807,0.2260555922985077,120439812.75,1.7547015947150189,23.26,23.15,23.47,2.0,951,False,,0.4755088993445703,0.014914069324731827,0.36430070883762683,80.75264602116818,73.39449541284404,SIDEWAYS,LOW_VOL,SIDEWAYS_LOW_VOL,23.497151432967737,Stable,True,False,72.08234279928912,0.896551724137931,[],[],Strong Long – PRO; TechRating 24.5; AlphaScore 0.01; in a SIDEWAYS_LOW_VOL regime
7.85,7.84,7.86,7.84,9455112.0,0.004529741656994115,0.0355584720074038,2,3,2,1,-1,1,0.0025542784163472554,0.7735129171502942,0.014351460462708491,False,18.641077502901766,23.886015946183978,0.011439129710197449,None,VMEO,Industrials,,Other,Strong Long,2.487512320628965,0.0,0.0,1.0,0.0,1.0,0.013125737197697163,0.01031472347676754,0.013125737197697163,0.01031472347676754,0.20510238409042358,0.14164292812347412,0.16702672839164734,74222629.2,1.6753423611107296,7.85,7.8,7.97,2.0,1757,False,,0.4443007973091989,0.011439129710197449,0.3427992134632839,77.06781654253234,78.75787578757875,SIDEWAYS,LOW_VOL,SIDEWAYS_LOW_VOL,20.40034615679306,Stable,True,False,53.18229324680271,0.6704980842911877,[],[],Strong Long – VMEO; TechRating 23.9; AlphaScore 0.01; in a SIDEWAYS_LOW_VOL regime
28.0,27.99,28.0,27.99,2108684.0,0.0026960378411864773,0.07548905955322137,2,3,2,1,0,1,0.0010725777618878496,0.8651981079406761,0.012885070056164906,False,20.150748080026258,25.280306323649704,0.002110051456838846,None,ODP,Consumer Discretionary,RETAIL-MISCELLANEOUS SHOPPING GOODS STORES,Other,Strong Long,2.754199663960602,0.0,0.0,1.0,0.0,1.0,0.007304914761334658,-0.0013531905133277178,0.007304914761334658,-0.0013531905133277178,0.10278655588626862,-0.034073956310749054,0.020670250058174133,59043152.0,1.7974643689084877,28.01,27.89,28.25,2.0,827,False,,0.5,0.002110051456838846,0.32573851802153514,62.19129753038024,53.81944444444444,SIDEWAYS,LOW_VOL,SIDEWAYS_LOW_VOL,24.507825333560387,Neutral,False,False,56.58099121191877,0.9425287356321839,[],[],Strong Long – ODP; TechRating 25.3; AlphaScore 0.00; in a SIDEWAYS_LOW_VOL regime
43.42,43.31,43.465,43.29,1339309.0,0.001992002236220944,0.08649273709671339,2,3,2,1,0,1,0.0030030030030030463,0.9003998881889528,0.012733982471252693,False,20.3725192955904,25.24752488814719,-0.009995602071285248,None,SPNS,Industrials,,Other,Strong Long,2.793376142062786,0.0,0.0,1.0,0.0,1.0,-0.001539680641144514,-0.015632882714271545,-0.001539680641144514,-0.015632882714271545,-0.05267978832125664,-0.24912379682064056,-0.17054618895053864,58152796.78,1.7560033276982385,43.43,43.29,43.71,2.0,721,False,,0.5,-0.009995602071285248,0.32150153936818243,29.41983535868287,28.487848784878487,SIDEWAYS,LOW_VOL,SIDEWAYS_LOW_VOL,21.375433537319186,Neutral,False,False,31.481420110008653,0.6704980842911877,[],[],Strong Long – SPNS; TechRating 25.2; AlphaScore -0.01; in a SIDEWAYS_LOW_VOL regime
54.65,54.52,54.825,54.37,15309223.0,0.00535136605338258,0.292452154817358,2,3,2,1,0,1,0.003949664737760594,0.732431697330871,0.012670954296367542,False,19.314319693184487,24.475717495457793,0.006199655123054981,None,AKRO,Health Care,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals,Strong Long,2.6064423533565386,0.0,0.0,1.0,0.0,1.0,0.003909650724381208,0.007726323790848255,0.003909650724381208,0.007726323790848255,0.04310612753033638,0.10266205668449402,0.07883968949317932,836649036.9499999,1.7217814198867758,54.68,54.21,55.62,2.0,213,False,,0.4737858747728897,0.006199655123054981,0.31013069775574914,69.93335946687573,56.74157303370787,SIDEWAYS,LOW_VOL,SIDEWAYS_LOW_VOL,23.221769467123778,Neutral,False,False,58.515043129922354,0.8735632183908046,[],[],Strong Long – AKRO; TechRating 24.5; AlphaScore 0.01; in a SIDEWAYS_LOW_VOL regime
67.75,67.48,67.75,67.48,1291287.0,0.0022450262969539517,0.1521005316186302,2,2,2,1,1,1,0.0025155371411660354,0.8877486851523024,0.011399460884499606,False,18.36016750536812,23.197982644045176,-0.005685543641448021,None,ALE,Utilities,ELECTRIC & OTHER SERVICES COMBINED,Other,Strong Long,2.437888818593019,0.0,0.0,1.0,0.0,1.0,-0.007736063562333584,-0.004318529739975929,-0.007736063562333584,-0.004318529739975929,-0.16159704327583313,-0.0787314772605896,-0.11187770962715149,87484694.25,1.5454705352060756,67.77,67.48,68.34,2.0,350,False,,0.4098991322022588,-0.005685543641448021,0.2644444957500937,40.748725989807916,30.0,SIDEWAYS,LOW_VOL,SIDEWAYS_LOW_VOL,22.97189361212527,Neutral,False,False,49.36001196616317,0.9808429118773946,[],[],Strong Long – ALE; TechRating 23.2; AlphaScore -0.01; in a SIDEWAYS_LOW_VOL regime
205.4,205.22,205.49,205.22,394073.0,0.0029362923553007607,0.6031144497787763,2,3,0,1,-1,1,0.005827334606532508,0.853185382234962,0.008013551559658272,False,15.295289834727818,19.97996183529849,-0.0049665868282318115,None,GTLS,Energy,FABRICATED PLATE WORK (BOILER SHOPS),Other,Long,1.896469984574029,0.0,0.0,1.0,0.0,1.0,0.0017938626697286963,-0.00947355292737484,0.0017938626697286963,-0.00947355292737484,0.005915747489780188,-0.1563652902841568,-0.09145288169384003,80942594.2,1.200696983615449,205.46,204.5,207.39,2.0,103,False,,0.24899809176492446,-0.0049665868282318115,0.16011045432716897,42.787142297138374,47.42268041237113,SIDEWAYS,LOW_VOL,SIDEWAYS_LOW_VOL,19.512472319170275,Neutral,False,False,51.054790832565395,0.9425287356321839,[],[],Long – GTLS; TechRating 20.0; AlphaScore -0.00; in a SIDEWAYS_LOW_VOL regime
6.58,6.58,6.59,6.57,3527015.0,0.0033536412668006377,0.022066959535548197,2,2,2,1,0,1,0.0,0.8323179366599681,0.007895111140400963,False,17.09451685796383,21.908027365718763,-0.004413081333041191,None,PGRE,Financials,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody,Long,2.2143082481979035,0.0,0.0,1.0,0.0,1.0,0.009226788766682148,-0.013506327755749226,0.009226788766682148,-0.013506327755749226,0.13656841218471527,-0.21709822118282318,-0.07563156634569168,23207758.7,1.4128293127351161,6.58,6.55,6.65,2.0,2832,False,,0.34540136828593815,-0.004413081333041191,0.17296631091929537,44.57075656605253,56.51074589127687,SIDEWAYS,LOW_VOL,SIDEWAYS_LOW_VOL,20.44617801646154,Explosive,False,True,40.76320096253134,0.7624521072796935,[],[],Long – PGRE; TechRating 21.9; AlphaScore -0.00; in a SIDEWAYS_LOW_VOL regime
96.36,96.25,96.42,96.25,1368706.0,0.0038629366399664123,0.37223257462716347,2,3,0,1,-1,1,0.003854568184185947,0.8068531680016794,0.00744728405379821,False,15.07289520640806,19.609590446607672,-0.010781426914036274,None,MRUS,Health Care,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals,Long,1.857183378941963,0.0,0.0,1.0,0.0,1.0,-0.00685248663648963,-0.013400719501078129,-0.00685248663648963,-0.013400719501078129,-0.14606592059135437,-0.21550777554512024,-0.1877310425043106,131888510.16,1.1414633306907092,96.4,95.8,97.59,2.0,167,False,,0.23047952233038363,-0.010781426914036274,0.14603819023453504,27.851822814582516,34.26966292134831,SIDEWAYS,LOW_VOL,SIDEWAYS_LOW_VOL,18.4559062758881,Neutral,False,False,42.43964459844885,0.8735632183908046,[],[],Long – MRUS; TechRating 19.6; AlphaScore -0.01; in a SIDEWAYS_LOW_VOL regime
58.25,58.28,58.39,58.22,732419.0,0.004807657579156105,0.2800460539858431,2,2,0,1,1,1,0.004137217721082553,0.7596171210421947,0.005932092941223951,False,13.918277044689875,18.450599689072277,-0.007696622051298618,None,TXNM,Utilities,ELECTRIC SERVICES,Other,Long,1.6532169939723436,0.0,0.0,1.0,0.0,1.0,-0.0075238486751914024,-0.007811803836375475,-0.0075238486751914024,-0.007811803836375475,-0.15786682069301605,-0.13133962452411652,-0.14195051789283752,42663406.75,1.0249083655645883,58.28,57.83,59.17,2.0,223,False,,0.17252998445361384,-0.007696622051298618,0.10945067217689448,34.79027832222658,21.25,SIDEWAYS,LOW_VOL,SIDEWAYS_LOW_VOL,18.239265078303465,Neutral,False,False,39.35628436569601,0.9808429118773946,[],[],Long – TXNM; TechRating 18.5; AlphaScore -0.01; in a SIDEWAYS_LOW_VOL regime
20.01,20.01,20.075,20.01,151494.0,0.0034166418810504073,0.06836700403981866,2,3,2,1,1,1,0.006033182503770718,0.8291679059474797,0.005561410441627876,False,20.872508179253366,19.71373282553938,0.018399551510810852,None,GHLD,Financials,MORTGAGE BANKERS & LOAN CORRESPONDENTS,Banks,Long,2.8817005150087067,0.0,0.0,1.0,0.0,1.0,-0.0012977301375940442,0.03153106942772865,-0.0012977301375940442,0.03153106942772865,-0.04842689260840416,0.4611576497554779,0.25732383131980896,3031394.9400000004,0.2975569794968406,20.02,19.91,20.24,2.0,914,False,,0.23568664127696906,0.018399551510810852,0.10963615957941693,83.94747157977264,95.57522123893806,SIDEWAYS,LOW_VOL,SIDEWAYS_LOW_VOL,18.60750186048741,Explosive,False,True,52.43199452824625,0.7624521072796935,[],[],Long – GHLD; TechRating 19.7; AlphaScore 0.02; in a SIDEWAYS_LOW_VOL regime
6.19,6.18,6.19,6.17,6117189.0,0.014538300354515418,0.08999207919445044,2,3,2,0,0,1,0.0016181229773464256,0.27308498227422917,0.0052887404694002,False,15.638509893645374,20.010627968182384,-0.020041117444634438,None,DENN,Consumer Discretionary,RETAIL-EATING PLACES,Other,Long,1.9571007255302413,0.0,0.0,1.0,0.0,1.0,-0.008900261484086514,-0.027468351647257805,-0.008900261484086514,-0.027468351647257805,-0.18206079304218292,-0.4273640215396881,-0.3292427659034729,37865399.910000004,1.1568805079987896,6.2,6.06,6.49,2.0,694,False,,0.2505313984091192,-0.020041117444634438,0.10583101795343768,18.032144257154055,17.36111111111111,SIDEWAYS,LOW_VOL,SIDEWAYS_LOW_VOL,19.188867094008994,Explosive,False,True,37.13812548017449,0.9425287356321839,[],[],Long – DENN; TechRating 20.0; AlphaScore -0.02; in a SIDEWAYS_LOW_VOL regime
65.45,65.48,65.7972,64.88,1461466.0,0.017092820254466082,1.118725085654805,2,3,0,0,0,2,0.020901575417251683,0.14535898727669594,0.0009179210069339403,False,12.641330835111148,17.100629323135124,-0.007352646440267563,None,NYT,Communication Services,NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING,Other,Long,1.4276410323220876,0.0,0.0,1.0,0.0,1.0,-0.010756277479231358,-0.005083558615297079,-0.010756277479231358,-0.005083558615297079,-0.21468500792980194,-0.09025269001722336,-0.14002561569213867,95652949.7,0.8789577055171084,65.56,63.77,69.14,2.0,55,False,,0.10503146615675618,-0.007352646440267563,0.01569702688749626,35.59388475107801,35.41666666666667,SIDEWAYS,LOW_VOL,SIDEWAYS_LOW_VOL,16.89151325308599,Explosive,False,True,35.92266996529125,0.9808429118773946,[],[],Long – NYT; TechRating 17.1; AlphaScore -0.01; in a SIDEWAYS_LOW_VOL regime
55.2,55.62,56.16,55.12,1361833.0,0.016191472354577192,0.893769273972661,2,3,0,0,1,1,0.024118738404452778,0.1904263822711404,0.0007608548926700225,False,12.871174549582816,17.12656976210714,-0.017379093915224075,None,MPLX,Energy,PIPE LINES (NO NATURAL GAS),Other,Long,1.4682435389369262,0.0,0.0,1.0,0.0,1.0,-0.015108966268599033,-0.01889251172542572,-0.015108966268599033,-0.01889251172542572,-0.2911946475505829,-0.29821327328681946,-0.2954058349132538,75173181.60000001,0.8509662580893632,55.29,53.86,58.15,2.0,69,False,,0.10632848810535708,-0.017379093915224075,0.013030834398153682,19.874558996471972,22.68041237113402,SIDEWAYS,LOW_VOL,SIDEWAYS_LOW_VOL,16.597376587319516,Explosive,False,True,28.482961585425247,0.9425287356321839,[],[],Long – MPLX; TechRating 17.1; AlphaScore -0.02; in a SIDEWAYS_LOW_VOL regime
190.08,190.33,192.08,189.45,1089489.0,0.01702812513320271,3.2367060253191715,2,3,0,0,0,1,0.013868145935566512,0.14859374333986441,-0.0007212771090364812,False,11.913249968031348,16.281901558389368,-0.009730181656777859,None,DOV,Materials,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP",Other,Long,1.29902360073516,0.0,0.0,1.0,0.0,1.0,-0.00887425895780325,-0.010300795547664165,-0.00887425895780325,-0.010300795547664165,-0.18160372972488403,-0.16882343590259552,-0.17393556237220764,207090069.12,0.7834878943926394,190.4,185.22,200.76,2.0,19,False,,0.0640950779194684,-0.009730181656777859,-0.011743762885651661,29.890239121912977,23.711340206185564,SIDEWAYS,LOW_VOL,SIDEWAYS_LOW_VOL,15.84004135979622,Explosive,False,True,22.075332548195142,0.9655172413793104,[],[],Long – DOV; TechRating 16.3; AlphaScore -0.01; in a SIDEWAYS_LOW_VOL regime
